id,name,publishTime
533856232,Love The Way You Lie,2011-06-14 00:00:00
539666331,いつも何度でも (千と千寻の神隠し),2006-06-20 00:00:00.007000
524170110,MAKE LOVE,2011-05-25 00:00:00
472255465,Shape Of You (Galantis Remix),2017-02-10 00:00:00
25832725,Sinfonie Nr. 7 in A:II. Allegretto,1997-01-01 00:00:00.004000
37003659,女孩,2003-02-01 00:00:00
1304978177,Lights,2013-08-16 00:00:00.007000
531374805,1월부터 6월까지 (우아한 석고부인),2015-05-31 00:00:00.007000
523665884,Strongest (Alan Walker Remix),2017-11-24 00:00:00.007000
554432808,趁早(2005版),2005-03-01 00:00:00
480377857,Memories Ringing（韩语）,2017-05-25 04:19:23.741000
563158363,Never,2009-01-09 00:00:00.007000
445104978,三轮车,2014-01-01 00:00:00.004000
496435139,那些花儿,1999-01-01 00:00:00
467606333,山楂树,2009-09-24 00:00:00.007000
567037290,Gonna Make You Sweat,2015-09-11 00:00:00.007000
33178861,Picture To Burn,2008-10-13 00:00:00
39027231,咱们的领袖毛泽东,1997-09-01 00:00:00
543944174,Steady Expansion (Original Mix),2015-02-27 00:00:00.007000
1337676661,La Ciega,2016-12-01 00:00:00.007000
426787438,浪子心声,1980-10-02 00:00:00
510185719,Talking to Myself,2016-04-06 14:14:21.635000
409123093,我以为,2014-12-16 00:00:00.007000
554767151,梦蝶,2005-01-13 00:00:00
1293862769,【Moonlight】恋爱街道,2017-03-13 21:53:26.472000
554930512,Look Again,2003-03-11 00:00:00.007000
451604484,小龙人之歌,2014-04-02 00:00:00.007000
473271965,Concerto grosso in B flat Op.6 No.11:5. Sarabanda: Largo,1988-01-01 00:00:00.007000
1352208652,清心普善咒,1998-04-01 00:00:00
400470528,Be Here,2014-10-29 00:00:00.007000
407066933,爱引力,2009-03-27 00:00:00
550727788,Psycho (Pt. 2),2016-11-09 00:00:00.007000
538540653,大鱼,2016-05-19 23:57:36.232000
1338678721,Evening Shadow,2017-01-19 00:00:00.007000
30031735,軍隊物が欲しいっていうから…。,2000-01-01 00:00:00.007000
407788170,看见什么吃什么,2012-10-03 00:00:00.007000
537609002,Conformação,1962-03-01 00:00:00.093000
549202024,How Deep Is Your Love (Kayzo Harder Mix),2015-10-08 00:00:00.007000
516097111,众山围绕耶路撒冷,2011-12-20 00:00:00
1306357310,Bounce the World,2017-06-26 00:00:00.007000
550950008,All About U,2011-11-28 00:00:00
567356218,"Barbara, Komm' Mit Nach Afrika",2007-02-16 00:00:00.007000
417969118,我们说好的,2007-08-01 00:00:00
402771302,千山万水,2008-05-02 00:00:00
547168616,Si Supieras,2017-09-02 00:00:00.007000
472463172, Get Away,2014-10-23 00:00:00.007000
420620324,SMILY,2005-05-11 00:00:00
439824918,岁晚,2014-07-14 00:00:00
403097005,故事细腻,2011-12-30 00:00:00
473295289,(Tanto)3/Falla Girare (Medley Live N.Y.),2009-12-01 00:00:00.007000
455378414,The Fault in Our Stars,2013-05-05 00:00:00
554211516,New England Spring,1996-09-01 00:00:00.007000
472250858,Sketch (Chinese Ver.),2016-03-17 00:00:00.007000
447066612,世界末日的某个角落,2008-01-01 00:00:00.004000
417638007,Everything N'Nothing,2008-01-25 00:00:00.007000
419009114,The Great Sea,2013-10-01 00:00:00.006000
540975966,Ricordati Ragazzo,2012-10-01 00:00:00.007000
422046145,执链,2014-01-01 00:00:00.004000
453330674,标本似的心,1990-06-01 00:00:00
1315327768,我值得,2014-12-30 00:00:00.007000
560447211,"The Nutcracker, Op. 71, Act I, Scene 1: No. 1 The Christmas Tree",2014-12-26 00:00:00.007000
559052812,Little Girl,2012-12-14 00:00:00.007000
500329350,cket,2014-10-22 00:00:00.007000
405220720,ペテン师が笑う顷に,2010-07-21 00:00:00
1359651447,Ch. 3 (Reality Skit),2016-10-14 00:00:00
1299226441,It's Just Another New Year's Eve,2014-10-15 00:00:00.007000
511432087,心愿,2009-11-23 00:00:00
445516179,李白,2013-09-17 00:00:00.007000
498654269,谢谢 (Live),2016-09-15 00:00:00.007000
540936720,Do It Again,2014-05-26 00:00:00.007000
552405434,Short Funny Accent Played on Grand Piano,2014-11-07 00:00:00.007000
38685145,残酷な天使のテーゼ,2012-03-07 00:00:00.007000
1296405507,Bad Liar,2017-06-20 00:00:00
1315616953,炉心融解,2014-01-01 00:00:00.004000
476751179,"Russia, 1942",2005-09-06 00:00:00.007000
533947627,西海情歌,2006-09-01 00:00:00
496798379,BITE,2015-12-04 00:00:00.007000
573142147,Wonderland,2003-12-23 00:00:00.007000
414293529,月夜のテーマ(2007 Version),2007-12-05 00:00:00
403768537,Nocturnes: No. 5 in F sharp Op. 15 No.2,2010-03-15 00:00:00
1357517040,Gook,2016-04-14 02:14:34.861000
459631829,"Coriolan Overture, Op. 62",1990-10-25 00:00:00.007000
405138641,ショートバケーション,2013-10-30 00:00:00.007000
496114782,大梦,2016-07-26 00:00:00.007000
1342352884,不好听,2010-12-24 00:00:00
416546479,Die In Your Arms,2012-06-05 00:00:00
499462406,6.4“阳气者闭塞”,2017-08-18 00:30:49.595000
1328716897,I Dreamed A Dream,2013-03-19 00:00:00
561117823,"Haway Cinco Cero (De ""Hawaii Five-0"")",2013-10-17 00:00:00.007000
426285534,S.E.X,2014-01-01 00:00:00.004000
1351727812,Reciprocity (Original Mix),2014-03-04 00:00:00.007000
559333631,变色龙,2007-10-18 00:00:00
479897917,往事欲如何(Live),2005-12-01 00:00:00
468566588,我不要被你记住,2012-12-18 00:00:00.007000
540000973,无忌,2001-01-01 00:00:00.004000
544872480,让我靠近你,2016-10-19 21:35:17.455000
479156122,1-41,2017-05-18 00:33:31.503000
497864311,一了百了,2000-05-01 00:00:00
412665611,着任,2015-03-25 00:00:00.007000
406035164,コンプリケイション (TV SIZE OPENING VER.),2010-06-02 00:00:00.007000
568481321,七百年后(Live) - live,2010-06-28 00:00:00
1327269898,旧情绵绵,1993-07-01 00:00:00
539041072,Blue and Sentimental,2010-10-27 00:00:00.007000
522761132,Dub I Dub,2010-01-14 00:00:00.007000
450834114,第一课,2016-08-25 00:00:00.007000
565556886,Serviana,2017-01-05 00:00:00.007000
431985117,Fly to the stars,2012-11-21 00:00:00.007000
1331413189,我在东北玩泥巴,2014-01-01 00:00:00.004000
443191514,Suda,2015-03-23 00:00:00.007000
525615093,Harlem,2014-09-08 00:00:00.007000
511723977,Seve (Radio Edit),2015-11-11 15:09:48.737000
26702409,Think About The Way 2013,2013-07-09 00:00:00.007000
542205876,Surrender The Throne (Original Mix),2016-05-20 00:09:37.292000
405381565,我知道你都知道,2012-07-17 00:00:00
1336158482,前尘如梦,2013-01-01 00:00:00.004000
475453261,The Judgement Day,2008-01-01 00:00:00.007000
481790387,20170603 | 055-056 International - America’s foreign policy,2017-06-02 07:39:59.180000
1375342831,Fuego (Club Mix),2017-02-13 00:00:00.007000
436042762,Better In Time,2009-07-14 00:00:00.007000
467208055,Jejune,2017-03-21 15:03:39.533000
440369556,梦と叶桜,2014-01-01 00:00:00.004000
411641226,深奥的幸福,2010-04-26 00:00:00
523356913,当妮走了（Cover：徐真真）,2017-02-04 00:40:01.880000
1334111312,La Voz de la Madre Naturaleza,2017-02-16 00:00:00.007000
510749317,甜心,2016-08-05 00:00:00.007000
